Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment,user_review_count,product_review_count,vader_score,vader_sentiment,bert_sentiment,emotion,sarcasm,comprehend_sentiment
333184,B005DZIJVY,A35K2RSB6FXVYH,Riverbird,0,0,2,1342051200,Good for your body but not your taste buds,"The  chia powder arrived quickly. I had tried chia seeds from another company. They  had very little flavor. I mixed a tablespoon in a cup of water and ate it like soup.  Thinking the powder would be similar, I ordered a large amount.  The taste is not to my liking. I am stuck with 2.2 pounds. I have taken to mixing a tablespoon of powder with a teaspoon of lemon curd to try to diminish the unpleasant  flavor. Then I mix this with a serving spoon of plain yogurt.  Edible but not yummy.  I suppose this would work in some baked Items but I am not going to try it.  The chia seeds really curbed my appetite. The powder has not been as effective. I was told seeds can be detrimental to the intestinal track in some people.",negative,1,1,-0.8528,negative,negative,disgust,de,NEGATIVE
515990,B002VZSUFY,A164G1IQSVRPFG,Spice,0,3,2,1297987200,Daniel Chips,Used to love these chips. This time the palm oil smelled rancid even though the expiration date was ok. I emailed  the company and never received a response. No phone number available on the contact. The chips are made in Thailand even though the company says New England and gives out the impression that it's natural and hand packed. Won't buy these again.,negative,4,9,0.7076,positive,negative,disgust,de,NEGATIVE
416830,B003F8G742,A26VQUFUEH6UBU,Anna Biondolillo,1,1,5,1314662400,Great Treat,"My Sharpei is on a grain free diet, so sometimes it is a challenge to find him treats. This is a great treat as he loves parmesan cheese.",positive,2,3,0.9337,positive,positive,neutral,de,POSITIVE
531204,B000EA3PEO,AX088SXW7T0OB,marika,0,0,5,1346198400,Eat Healthy,I purchased a case of this product....very tasty...but..also the best laxative....its organic..and if you have constipation problems...this is the most effective product compare to over the counter medications...  ..and its Healthier for you,positive,1,10,0.8221,positive,positive,joy,normal,POSITIVE
399682,B005GIF5WY,A2DNTJYRT6XRU4,CatMom,1,1,5,1299024000,My cats LOVE these ...,"The title says it all! I even buy these on a subscription as I save money over the store price (even Walmart) and get free shipping. (I never want to run out of these are I don't want my fur-kids giving 'dirty looks').  I recommend this to anyone who wants a good kitty treat that is also a hairball product.  After you cats gets a taste of these, all they will need is the sound of the bag opening to come running... >^..^&lt;",positive,16,134,0.9177,positive,negative,neutral,normal,POSITIVE
177055,B004FEJ968,A259HHYBP6ZNJ3,joeyjhg2,1,1,4,1304985600,Light and Tasty!,"Newtons Fruit Thins Cranberry Citrus Oats are really tasty. They're light and crispy and a little chewy.<br />I eat these for a snack with coffee mid-afternoon and they satisfy the craving for a light snack. They're especially good with coffee. The cranberry citrus is my favorite flavor, too. The cookies are not too sweet and just right.",positive,12,168,0.7726,positive,positive,neutral,normal,POSITIVE
78832,B001E5DZSO,A2YMZM2WJS9C0L,"Sue E. Ramsey ""Sue E. Ramsey""",0,0,5,1305072000,Enjoy the taste of brown sugar instead of wondering if it's there.,I read a lot of reviews on brown sugar to find one that I could taste in my recipe after cooking.  I make homemade granola bars and it's so easy to lose the brown sugar taste when cooking.  With the Dark Muscovado you get a hint of of the taste with every bite.  I also like the way it melds so well with the vanilla flavoring and butter.  I will be getting more when I run out of what I have.  The price is right for the quality of the product and I find this brand better than what I was getting at the natural foods store.  I do keep mine in the refrigerator and I would like to add a special thank you to the manufacturers for their packaging.  It is so easy to close and sill the bag after opening.  So far all the packs of sugar have stayed soft until I've used all of the contents.  You can tell by just one use that this is quality sugar.,positive,12,21,0.9677,positive,positive,neutral,normal,POSITIVE
374215,B000VVT9IM,A383XURHVF8ON6,Mrs. Kilo Delta,4,5,5,1209945600,My little girl sheltie loves a piece of lung for breakfast,"I give my 30 lb sheltie about half a piece of lung every morning for her (first) breakfast.  Breaking them up is kinda weird, the lungs tend to turn to powdery bits when I try to break them, so I guess I'll just have to give her a whole piece of lung from now on, huh? ^_^<br /><br />The smell of these is similar to dried green tripe, quite stinky, but disappears once she's eaten it.  She *LOVES* the smell of the lungs, though I don't, so I hurry up and give it to her and seal up my ziploc again before I smell it too much.  With a light and airy crunch to these beef lungs (the sound of her eating these reminds me of munching on popcorn), they aren't a replacement for rawhide, bones, or other similar long-lasting chews.  It only takes my dog a few minutes to eat hers, but she's a slow, lady-like eater, not a gulper.  There's a lot of lung for 1 lb, I filled 2 gallon-sized Ziplocs with the 1 lb, and they're a great price.  For what they are as treats, they're a great natural product to give to your dog.",positive,92,21,0.959,positive,negative,disgust,de,MIXED
536447,B000NVCK7C,A1GQJSMDSO9Q30,Silvia Beene,0,0,5,1314921600,Herbs de Provance,"Excellent product,Herbs were very fresh and fragrant... quick and easy transaction. Product was delivered promptly and packed very well. I will use this company again  A ++++++",positive,3,8,0.8906,positive,positive,joy,de,POSITIVE
470431,B000FBQ56M,A25IHNYTOSLQBR,Chris Howell,0,0,5,1200441600,Delightful cookies,A light and crisp flaky cookie surrounding a brightly flavorful nugget of jam. The only problem - I can eat a whole box without stopping to breathe! And buying them by the case makes them very affordable. My next order is already in...,positive,14,60,0.1371,positive,positive,neutral,de,POSITIVE
413045,B003KKSRL6,ARF7A1DUF66O6,cynthia s quillen,0,0,5,1330128000,Yummy!,I Saw this recommended on Dr. Oz and thought that I would give it a try. It is delicious on toast or on a sandwich.  My husband and I eat a healthy dose of this every day.,positive,1,9,0.8126,positive,positive,neutral,de,POSITIVE
558124,B007JT7AIA,A1QBOC76MIOJYP,MyPenName,0,0,5,1345593600,Works very well,"This 2in1 shampoo & conditioner works surprisingly well. It makes your hair so shiny and smooth and it does moisturize the scalp and make the dryness go away. It makes the itch go away as well. More severe cases may need more than a few uses, but you should see an improvement after the 1st use for slight cases.<br /><br />The scent is fairly strong, but does smell nice and fresh. It lathers well and rinses well. It doesn't leave any residue behind. It doesn't make your hair feel greasy or way. You hair will look and feel healthy.<br /><br />As an additional bonus, I actually used this fo my dog because he broke out with some serious dandruff and was constantly scratching and itching after trying a mostly grain based dog food (Beneful). I had read that Head and Shoulders works for pets, so I figured i'd give this one a try since we had it on hand. It did an amazing job! He smelled great for days, his fur was SO shiny, soft and sleek and his dandruff decreased dramatically after the first bath with it. He stopped scratching and itching too. It was pretty amazing. I will remember to use this again if we ever have any skin issue with him. He had been scratching and flaking with dandruff for about 4 days. The day we used it, he was still scratching and flaking everywhere right before the bath. Immediately after the bath it was such a drastic change for the better.<br /><br />Definitely recommended for human and pet use!",positive,57,93,0.995,positive,positive,neutral,normal,POSITIVE
148204,B004SASS34,A12SBS5XUBWEV0,katie,1,1,5,1340150400,Simply the best Havarti cheese,I've tried many many types and brands of havarti cheese. Dofino's is by far my favorite.. I just love all varitions of their havarti especially havarti with jalapeno.,positive,9,4,0.802,positive,positive,joy,de,POSITIVE
475716,B00250I61S,A1EB0P87A48B3R,"Valerie S. Crider ""Glutenfree4me""",0,0,5,1198368000,Can't eat just one!,"I love these and it is the best treat.  I love cookies and couldn't find one that was very good until I found these.  I can eat a whole bag in one day!  Matter of fact, I need to order another case.",positive,14,80,0.9632,positive,positive,joy,de,POSITIVE
545348,B0014WYY1E,A3FZMYI7RA7E3P,"C. Price ""Layman, Lawyer, Blogger""",4,5,5,1209168000,"More Refreshing than Juice, More Healthy than Soda","My whole family is enjoying Izze drinks.  We received a case of the Apple.<br /><br />My wife likes them because they are fresh and not as sweet as a lot of juice drinks.<br /><br />My sons like them because ""it tastes like soda.""<br /><br />I think they taste good and like drinking it straight from the can.<br /><br />It's nice to find a drink the whole family can enjoy, and which can substitute for soda as a healthy alternative.",positive,3,80,0.9751,positive,positive,joy,de,POSITIVE
561713,B003D3DRNS,A3TXWEUCYS1EGY,"M. Pierson ""country girl""",0,0,2,1331164800,Very Bland,"As per other reviews, I find this coffee to be strangely without flavor. I say strangely because it looks like coffee and smells like coffee, but tastes more like water. I really hate to leave a bad review and I never have before, but this one is a ""no go"".",negative,1,2,-0.8379,negative,negative,disgust,de,NEGATIVE
222054,B003CWAWS8,A209DD198R0W1X,"Manasseh ""Manasseh""",0,0,1,1310428800,Heat destroys and flavor,Disappointed big time.  The flavor lasts a very short time and if you leave the pack in the car (out of the sun and still wrapped) you will be very disappointed with the outcome.  Gum crumbles.  Main compliant though is the flavor lasts only a short time.,negative,5,5,-0.7713,negative,negative,sadness,de,NEGATIVE
564284,B004JNXDNK,A1KHYE8V71TQ2K,Peg,0,0,5,1350345600,Great taste and protein source!,I gave up peanut butter many years ago because I suffered allergies and migraines and could not find the source. I fell in love with this walnut and cashew butter spread. I use the glutino crackers with no gluten and top it with this and I get a yummy snack for us vegans.,positive,2,3,0.6124,positive,negative,joy,normal,POSITIVE
193422,B005M16T16,A1Z54EM24Y40LL,c2,1,1,5,1325980800,Fabulous new treat!,"My toothless male actually will sit next to the lazy Susan where I keep his food, hoping for a few of these things!  That's totally out of his realm - you come to him with his food, he's too good to search it out for himself!  I can't get enough of these down him, or fast enough, to suit him.  The guy can eat almost 1/2 a package in one sitting!  They're soft chewies and this is the only variety we can get right now.  But, he loves the things so I'm going to order the other varieties here on amazon.  Highly recommend!",positive,256,4,0.924,positive,negative,neutral,normal,POSITIVE
115547,B000WFUL3E,A13CX0VH5IXM5Q,"James C. Laney ""Cat Roundup""",3,3,1,1230336000,Beef & Chicken canned Wellness didn't measure up.,"We've been ordering Wellness for one of our cats who was diagnosed as insulin-dependent diabetic a few months ago.  After reading many reviews on the internet, we chose Wellness chicken and Wellness turkey canned products.  This has gone well enough.  We though we'd give him a change of taste, so ordered a case of the beef & chicken canned food.  He projectile vomited it all over the kitchen.  Maybe it's the beef, but the remainder goes to the local pound where it will hopefully be appreciated.",negative,11,151,0.9246,positive,negative,neutral,de,MIXED
510015,B001EPPBE0,AVI2XOVO9UVI7,"BetterKnown ""Red Herring""",1,1,5,1308096000,Hard to find,"It can be hard to find Perciatelli or Bucatini in any brand, let alone a good brand like DeCecco.  This DeCecco far exceeds most of what you will find on the shelf at the supermarket and is even better than many more expensive brands.  A must for an Amatriciana sauce.  The box says to cook it 12 minutes, but if you like it al dente, and especially if you are going to finish it in a pan with the sauce, start checking it at about 9 minutes to make sure you don't overcook it.",positive,1,15,0.8462,positive,positive,neutral,normal,POSITIVE
426104,B000TQEWM2,A2TLHNB13PE5WN,Suzan K. Simmons,0,0,5,1346976000,Great tasting coffee,"Best tasting Hazelnut coffee I have found in a k-cup.  Wish it was sold in an 80 pack, instead of 50.",positive,6,254,0.7845,positive,negative,surprise,de,POSITIVE
117407,B0047Z0QSK,AWGJASRLPZA5G,Robert Ziemba,0,0,5,1350086400,"The best, hands down!",My mother is on a strict gluten free diet and I'm usually not a fan of the foods but when she made these cookies I couldn't even tell they were gluten free.  I actually liked them better than regular cookies with gluten.  I definitely recommend these to everyone.  You will not be disappointed.,positive,1,15,0.9744,positive,positive,neutral,normal,POSITIVE
217788,B000CQG87Q,A2OWR5G2OAQF7C,Sincerely Yours,1,3,4,1226188800,there are affordable teabags and there are affordable teabags,"nothing comes realatively cheap these days and still get the satisfaction.  I love stash tea, as it presents both good value (via amazon) and offers a little luxury amongst its peers.  There are more expensive brands, but as a brand, this one cuts about the rest.  I love the chamomile version and it is a sure winner in the taste section too. Highly recommend and thanks amazon for making it so affordable.",positive,77,170,0.9817,positive,positive,joy,normal,POSITIVE
432712,B003MWBFXY,A101P2KHWCU0G6,nardfran,0,2,1,1346025600,Toasted Corn and Rice for Cats!,"I was given a sample by my vet and my cats LOVED the stuff. I immediately saw that the amount they ate of this food was much more than their usual grain-free food, they seemed to be starving and feeding all the time. They also became less energized than usual, my cats are Siamese and are constantly running after each other and very active with their toys. They became lethargic and were not as interested in their usual activities. I called my vet and she suggested catnip and not to worry, hmm, never needed catnip before...<br /><br />Well I did worry, and did my research. Online I found that Science Diet's pride and joy is their belief in using corn and other grains, you also need a chemistry major in order to fully understand their ingredient list. Last time I checked my cats were obligate carnivores and was distressed that such a food was suggested, no less by my vet. Further research I found that the reason Science Diet is so recommended by vets is because Science Diet spends quite a bit of money in the major vet schools in the nation. They also give an incredible amount of money and support to many animal hospitals and shelters, for that I commend them much! I will give credit when credit is due, I think is wonderful that they give so much charity. With that said this food is nothing more than kibble, I can see why my cats were so hungry all the time, this food did not provide the energy they required. Going back to grain-fee, the first ingredients in this product are rice and corn.<br /><br />Also the fact that this food is so expensive when is no different that the kibble in supermarket stores is ludicrous!",negative,26,68,0.969,positive,negative,sadness,normal,POSITIVE
49296,B000IHNCQO,A2YQGSMT5K1ULR,MS,0,0,5,1313280000,Really Yummy!,I've been low carbing for some time.  These chips are great.  They really satisfy the need to munch on something salty and crunchy.  My only complaint is that the bags are not bigger!  My dog loves them also!,positive,5,150,0.8547,positive,positive,joy,de,POSITIVE
51530,B004HOLD92,A2VGTBXWR2191N,"T. Miller ""Rational Thinking""",0,0,4,1218758400,Perfect balance but,"I wanted more wasabi flavor but there is enough for a good balanced taste. Really, they are pretty good. You can actually find these in walmart for $3 a can so its about the same as buying here.",positive,13,171,0.9245,positive,positive,neutral,de,POSITIVE
270834,B004RBT8KG,A1PVE6KGAPD6FN,Stiffntrek,1,1,5,1330128000,Brownies great - price not so much,The brownies are great but I soon learned that they were overpriced. Sams Club offers them at a much better price but that was my mistake for not checking there first.,positive,1,39,0.5106,positive,negative,neutral,de,MIXED
555976,B005DGIAUI,A9DTFAUHBYV6S,gobbledeegouk,0,0,5,1350432000,best substitute for the real stick from the yard!,"My dogs love, love, love this chew toy. They enjoy regular nylabones but this one offers a little something different.",positive,3,39,0.836,positive,positive,joy,de,POSITIVE
157159,B0035DUVCQ,A2CDPI2JKZRRJD,Ursula Bongiovanni,1,1,5,1293667200,Sturdy and compact,This is a very nice carousel.  It is very compact for a carousel holding 35 K cups.  It is a nice heavy weighred carousel and spins easily.  Would get this again.,positive,2,14,0.807,positive,positive,joy,normal,POSITIVE
476475,B00269WURE,A2WCTVU89FEJNC,Sandy E. Smith,3,5,1,1312675200,Chef Oso,"I don't know what the other reviewers prepared as a filler for their tarts -- clearly one can hide their taste (petroleum and preservatives) with something rich and robust -- but why try.  You get what you pay for, and with this item, you get something akin to cardboard.  I'm sure that their shell life (atomic half life) is somewhere around 200 years, so if we ever have to back to stocking fall-out shelters, this is the item you'll be looking for.<br /><br />I purchased a case to try out in preparation for a catering I was planning, and handed a cup to my girlfriend who is a non-chef.  Her first comment on the taste was ""petroluem.""  On the plus side, I can't imagine these cups every springing a leak or getting soggy.  In fact, I can't imagine that my body could digest them once swollowed.  Save your money and order unbaked pastry cups shipped overnight on dry ice by Dufour Pastry Kitchens in the Bronx.  They have a wide variety -- including blue corn, and they are not only digestable, but taste good.",negative,1,7,0.8765,positive,negative,neutral,de,MIXED
404839,B000KK22Q0,A3B0WC02DFEMG6,Daniel B. Zalesnik,0,0,5,1306800000,Fantastic!!!!,Makes your popcorn taste just like your local theater's popcorn. With this seasoning less is more. You do not need much to add a ton of flavor to your popcorn.,positive,2,17,0.3612,positive,negative,neutral,de,POSITIVE
270786,B0027XYIDI,A3UX2YOMO6R1A8,"Amber ""beach gal""",3,3,5,1290729600,fabulous egg noodles,"bought these blindly via the military commissary system while living overseas and seeking out gluten free pasta.  These are corn based, not rice based.  Had never heard of the brand before trying them.  What a find.  These noodles are wonderful.  So flavorful its hard to believe they are gluten free.  Sent some via Amazon online to my dad who also must eat gluten free and he loved them.  My niece ate over at his house one night and still raves about the meal Grandpa made with these fettucine noodles.  She asked where she could buy them and she is a wheat eater--that tells you something about the quality and taste of this product.  A year later she still talks about that meal and these fettucine noodles...",positive,2,32,0.9554,positive,positive,joy,normal,POSITIVE
52192,B003VUETIA,A17DH80ETGVHP4,Cheryl C,0,0,5,1326672000,Delicious and fair trade,"I love the Bread and Chocolate bar.  It is delicious dark chocolate, fairly sweet, and then the bread gives it a hint of salty goodness.  Plus it's Theo's so it is guilt-free as far as being a conscientious consumer goes.  I've toured their factory and everything is fair trade.  Thank you, Premium Organic Cafe, for offering this online!<a href=""http://www.amazon.com/gp/product/B003VUETIA"">Bread & Chocolate</a>",positive,1,1,0.9583,positive,positive,joy,normal,POSITIVE
273617,B000V1HG6E,A3QU3KM3IYWHIF,J. Winters,0,0,3,1308528000,"Good flavor, too salty","The malt vinegar flavor is a nice change from typical vinegar chips, but it's unfortunately overpowered by the salt. My husband tried these and agreed they were too salty. We did enjoy the chips and had no trouble finishing an entire 10 oz bag, but I wish they'd cut the salt a bit. It's just unnecessary and really detracts from the vinegar flavor.",neutral,2,35,0.8603,positive,negative,neutral,de,MIXED
317301,B000FEDHHE,A29P8ZU750X4C5,jdjhj1,0,0,1,1340236800,12 packs of crums,this is not toast it is nothing but crums as u open each package over half is crums out of 12 packs be very lucky to get 5 full usable toast buyer be ware,negative,1,22,0.6297,positive,negative,surprise,normal,NEGATIVE
351656,B004QQ82M2,A9BI0IZ8V7JV8,blasley,6,7,1,1331251200,Disappointing,"We were very disappointed in this extract.  It took way too much extract to get any kind of taste to our root beer and when we did get the taste, it wasn't pleasing.  We emailed Cooks to give them a chance to tell us if this was normal for their product or if we got a bad batch.  They chose not to respond at all.  I certainly would not recommend this company or their products to anyone.",negative,4,3,-0.8115,negative,negative,sadness,de,NEGATIVE
499147,B004M62D5S,A2CU16YU1KEOUY,"Hurricane Ridge ""Chris""",0,0,5,1278115200,Excellent Flavor,"My sister, who is a coffee lover, told me about Tully's Italian.  Now, it's my favorite k-pod.  Not too dark and not too light.....just right.  The only thing to would improve it would be if it was Organic.",positive,8,117,0.8658,positive,negative,neutral,de,POSITIVE
3236,B005K4Q1VI,A15DQC8JSUVGYR,"Edmund N. Durden ""ND House""",0,0,5,1342656000,Easy and kids love it,"Yum!  All the convenience you expect with a K-Cup with all the flavor of real hot chocolate.  The kids love it, and so will you!",positive,5,324,0.6988,positive,positive,joy,de,POSITIVE
85338,B004UHFWXY,A290YJ7EVBD90O,Craig B. Stellpflug,1,36,1,1326844800,I wouldn't normally review like this but it came in my Amazon email so I just had to take a swing at it.,"This Hostess Chocolate Pudding Pie literally has a laundry-list of bad and even worse ingredients  and reads like a chemistry problem. Let's start with enriched wheat flour, vegetable(s) oil shortening - including partially hydrogenated oil(s), corn syrup, plus high fructose corn syrup, plus-plus more sweetener as sugar, modified corn starch, soy protein isolate, even more vegetable(s) oils as partially hydrogenated, beef fat. Now blend in some titanium dioxide, artificial flavors and food colors yellow 5 and red 40. Do you really want this ""food"" around for your kids to eat? Not recommended in my world.",negative,1,3,-0.8224,negative,negative,disgust,de,MIXED
